location,BHK,total_sqmeter,bath,price
 Devarachikkanahalli,3,116.13,2,487940.2
 Devarachikkanahalli,2,116.13,2,443582.0
 Devarachikkanahalli,2,111.48,2,920432.65
 Devarachikkanahalli,2,108.7,2,443582.0
 Devarachikkanahalli,3,132.39,2,720820.75
 Devarachikkanahalli,2,87.98,2,476850.65
 Devarachikkanahalli,2,104.98,2,399223.8
 Devarachikkanahalli,3,131.64,2,842805.8
 Devarachikkanahalli,2,114.27,2,643193.9
 Devarachikkanahalli,3,158.4,3,831716.25
 Devarachikkanahalli,2,103.68,2,521208.85
 Devarachikkanahalli,2,92.07,2,443582.0
 Devarachikkanahalli,3,157.93,3,787358.05
1st Block Jayanagar,4,264.77,4,4746327.4
1st Block Jayanagar,3,151.43,3,2151372.7
1st Block Jayanagar,3,174.19,2,2606044.25
1st Block Jayanagar,3,111.48,2,1441641.5
1st Block Jayanagar,2,114.73,2,1641253.4
1st Block Jayanagar,4,255.48,4,4579984.15
1st Block Jayanagar,4,227.61,4,4080954.4
1st Phase JP Nagar,4,262.45,4,2772387.5
1st Phase JP Nagar,3,174.19,3,1851954.85
1st Phase JP Nagar,5,139.35,5,942611.75
1st Phase JP Nagar,3,191.84,4,2328805.5
1st Phase JP Nagar,3,188.03,3,1741059.35
1st Phase JP Nagar,3,191.29,3,2495148.75
1st Phase JP Nagar,2,129.51,2,1108955.0
1st Phase JP Nagar,2,100.06,2,1031328.15
1st Phase JP Nagar,2,145.48,2,1996119.0
1st Phase JP Nagar,1,78.04,2,554477.5
1st Phase JP Nagar,3,147.71,3,1452731.05
1st Phase JP Nagar,3,202.53,3,2328805.5
1st Phase JP Nagar,2,109.62,2,981425.17
1st Phase JP Nagar,2,111.48,2,953701.3
1st Phase JP Nagar,2,129.51,2,942611.75
1st Phase JP Nagar,3,192.96,3,1940671.25
1st Phase JP Nagar,4,422.71,2,2661492.0
1st Phase JP Nagar,2,111.95,2,942611.75
1st Phase JP Nagar,4,242.94,5,2461880.1
1st Phase JP Nagar,2,83.61,2,831716.25
2nd Phase Judicial Layout,3,134.71,2,562794.66
2nd Phase Judicial Layout,2,106.84,2,446354.39
2nd Phase Judicial Layout,3,125.42,2,523981.24
2nd Phase Judicial Layout,3,125.42,2,523981.24
2nd Phase Judicial Layout,2,83.61,2,454671.55
2nd Phase Judicial Layout,3,156.17,3,765178.95
2nd Phase Judicial Layout,3,125.42,2,523981.24
2nd Phase Judicial Layout,2,106.84,2,446354.39
2nd Stage Nagarbhavi,4,139.35,4,2439701.0
2nd Stage Nagarbhavi,4,125.42,4,2217910.0
2nd Stage Nagarbhavi,4,111.48,4,2495148.75
2nd Stage Nagarbhavi,4,139.35,3,2550596.5
5th Block Hbr Layout,2,112.04,2,621014.8
5th Block Hbr Layout,3,117.99,2,776268.5
5th Block Hbr Layout,2,121.89,2,765178.95
5th Block Hbr Layout,2,102.19,2,532298.4
5th Block Hbr Layout,5,334.45,5,1441641.5
5th Block Hbr Layout,6,473.8,5,3326865.0
5th Phase JP Nagar,2,99.87,2,665373.0
5th Phase JP Nagar,2,106.84,3,582201.38
5th Phase JP Nagar,2,116.69,2,696423.74
5th Phase JP Nagar,2,112.13,2,698641.65
5th Phase JP Nagar,3,160.26,2,1108955.0
5th Phase JP Nagar,2,133.78,2,665373.0
5th Phase JP Nagar,3,157.93,2,1108955.0
5th Phase JP Nagar,3,137.96,2,742999.85
5th Phase JP Nagar,5,232.26,5,1219850.5
5th Phase JP Nagar,1,55.74,1,332686.5
5th Phase JP Nagar,2,129.13,2,720820.75
5th Phase JP Nagar,2,116.69,2,696423.74
5th Phase JP Nagar,2,92.9,2,532298.4
5th Phase JP Nagar,3,125.42,2,831716.25
5th Phase JP Nagar,1,51.28,1,260604.42
5th Phase JP Nagar,2,111.48,2,565567.05
5th Phase JP Nagar,3,115.2,3,665373.0
5th Phase JP Nagar,3,144.0,3,831716.25
5th Phase JP Nagar,3,137.96,2,731910.3
5th Phase JP Nagar,2,95.69,2,632104.35
5th Phase JP Nagar,2,111.48,2,754089.4
5th Phase JP Nagar,2,110.55,2,685334.19
5th Phase JP Nagar,5,371.61,5,1885223.5
5th Phase JP Nagar,2,100.33,2,587746.15
5th Phase JP Nagar,2,96.71,2,598835.7
5th Phase JP Nagar,2,75.44,2,465761.1
5th Phase JP Nagar,2,93.83,2,632104.35
5th Phase JP Nagar,3,134.71,2,809537.15
5th Phase JP Nagar,2,99.87,2,665373.0
6th Phase JP Nagar,2,110.74,2,820626.7
6th Phase JP Nagar,2,109.62,2,887164.0
6th Phase JP Nagar,4,301.47,4,2772387.5
6th Phase JP Nagar,3,152.82,3,1108955.0
6th Phase JP Nagar,2,105.91,2,720820.75
6th Phase JP Nagar,3,189.52,3,2217910.0
6th Phase JP Nagar,2,112.69,2,698641.65
6th Phase JP Nagar,2,112.97,2,665373.0
6th Phase JP Nagar,2,135.64,2,887164.0
6th Phase JP Nagar,3,186.08,3,2217910.0
6th Phase JP Nagar,3,168.15,3,1452731.05
6th Phase JP Nagar,3,140.75,2,1497089.25
6th Phase JP Nagar,2,110.74,2,831716.25
6th Phase JP Nagar,2,118.91,2,975880.4
7th Phase JP Nagar,2,100.33,2,798447.6
7th Phase JP Nagar,2,117.99,2,1031328.15
7th Phase JP Nagar,3,131.92,2,1108955.0
7th Phase JP Nagar,3,171.87,3,1663432.5
7th Phase JP Nagar,2,115.66,2,1042417.7
7th Phase JP Nagar,2,109.16,2,909343.1
7th Phase JP Nagar,3,130.06,2,1053507.25
7th Phase JP Nagar,3,206.71,3,1774328.0
7th Phase JP Nagar,2,97.55,2,787358.05
7th Phase JP Nagar,2,102.19,2,510119.3
7th Phase JP Nagar,2,85.28,2,559911.38
7th Phase JP Nagar,3,134.71,2,1108955.0
7th Phase JP Nagar,2,110.55,2,554255.71
7th Phase JP Nagar,3,131.92,2,1064596.8
7th Phase JP Nagar,3,156.08,3,1330746.0
7th Phase JP Nagar,2,91.04,2,765178.95
7th Phase JP Nagar,2,109.62,2,798447.6
7th Phase JP Nagar,3,97.55,2,632104.35
7th Phase JP Nagar,3,124.77,2,625561.52
7th Phase JP Nagar,3,130.53,2,654394.35
7th Phase JP Nagar,3,130.06,3,1275298.25
7th Phase JP Nagar,2,117.99,2,920432.65
7th Phase JP Nagar,4,306.58,4,1663432.5
7th Phase JP Nagar,4,232.53,4,2084835.4
7th Phase JP Nagar,3,204.38,3,2107014.5
7th Phase JP Nagar,3,116.13,3,720820.75
7th Phase JP Nagar,3,128.67,2,645079.12
7th Phase JP Nagar,3,146.32,2,1219850.5
7th Phase JP Nagar,3,171.87,3,1552537.0
7th Phase JP Nagar,3,146.32,2,1330746.0
7th Phase JP Nagar,3,171.87,3,1663432.5
7th Phase JP Nagar,3,156.08,3,1330746.0
7th Phase JP Nagar,2,109.16,2,914887.87
7th Phase JP Nagar,3,306.58,4,1774328.0
7th Phase JP Nagar,3,204.38,4,1164402.75
7th Phase JP Nagar,2,112.88,2,998059.5
7th Phase JP Nagar,2,97.55,2,831716.25
7th Phase JP Nagar,3,120.77,3,988411.59
7th Phase JP Nagar,2,104.98,2,809537.15
7th Phase JP Nagar,3,134.71,3,1108955.0
7th Phase JP Nagar,3,125.42,3,643193.9
7th Phase JP Nagar,2,97.55,2,554477.5
7th Phase JP Nagar,2,118.45,2,964790.85
7th Phase JP Nagar,3,135.64,3,776268.5
7th Phase JP Nagar,3,153.29,3,1219850.5
7th Phase JP Nagar,2,78.97,2,465761.1
7th Phase JP Nagar,3,156.08,3,1297477.35
7th Phase JP Nagar,3,171.87,3,1663432.5
7th Phase JP Nagar,2,114.83,2,680122.1
7th Phase JP Nagar,2,92.9,2,587746.15
7th Phase JP Nagar,3,156.08,3,1386193.75
7th Phase JP Nagar,3,155.61,2,1497089.25
7th Phase JP Nagar,2,110.27,2,654283.45
7th Phase JP Nagar,3,171.87,3,1718880.25
7th Phase JP Nagar,2,92.9,2,676462.55
7th Phase JP Nagar,3,135.64,2,1108955.0
7th Phase JP Nagar,3,153.29,3,1219850.5
7th Phase JP Nagar,2,111.48,2,693096.88
7th Phase JP Nagar,2,92.9,2,783476.71
7th Phase JP Nagar,2,100.33,2,831716.25
7th Phase JP Nagar,3,131.46,3,720820.75
7th Phase JP Nagar,3,156.08,3,1386193.75
7th Phase JP Nagar,3,135.64,2,1075686.35
7th Phase JP Nagar,2,104.05,2,720820.75
7th Phase JP Nagar,2,102.19,3,665373.0
7th Phase JP Nagar,3,166.3,3,1330746.0
7th Phase JP Nagar,3,156.08,3,1297477.35
7th Phase JP Nagar,2,97.55,2,853895.35
7th Phase JP Nagar,2,97.55,2,831716.25
7th Phase JP Nagar,2,96.62,2,831716.25
7th Phase JP Nagar,3,130.06,2,1053507.25
7th Phase JP Nagar,3,167.22,3,1441641.5
7th Phase JP Nagar,2,97.55,2,754089.4
7th Phase JP Nagar,2,92.9,2,665373.0
7th Phase JP Nagar,3,156.08,3,1386193.75
7th Phase JP Nagar,2,97.55,2,859107.44
7th Phase JP Nagar,2,117.99,2,887164.0
7th Phase JP Nagar,3,135.92,2,681452.85
7th Phase JP Nagar,3,156.08,3,1352925.1
7th Phase JP Nagar,2,104.98,2,942611.75
7th Phase JP Nagar,3,156.08,3,1441641.5
7th Phase JP Nagar,2,91.04,2,858774.75
7th Phase JP Nagar,3,156.08,3,1242029.6
7th Phase JP Nagar,3,140.75,2,842805.8
7th Phase JP Nagar,3,194.63,3,1663432.5
7th Phase JP Nagar,3,183.57,3,1607984.75
7th Phase JP Nagar,3,148.64,2,1219850.5
7th Phase JP Nagar,3,163.97,3,1308566.9
7th Phase JP Nagar,3,118.45,2,975880.4
7th Phase JP Nagar,3,134.71,2,1131134.1
7th Phase JP Nagar,3,146.32,2,1219850.5
7th Phase JP Nagar,3,99.87,2,632104.35
7th Phase JP Nagar,1,69.68,1,521208.85
7th Phase JP Nagar,2,91.97,2,554477.5
7th Phase JP Nagar,1,92.9,1,665373.0
7th Phase JP Nagar,3,156.08,2,1020238.6
7th Phase JP Nagar,3,132.85,2,1131134.1
7th Phase JP Nagar,2,104.79,2,665373.0
7th Phase JP Nagar,2,105.91,2,632104.35
7th Phase JP Nagar,3,131.92,3,998059.5
7th Phase JP Nagar,2,142.14,2,1197671.4
8th Phase JP Nagar,2,99.73,2,598891.15
8th Phase JP Nagar,1,41.9,1,331577.54
